Experiment 1: Scalability with Number of The number of threadss (Mops),,,,,,,,
Balanced workloads,,,,,,,,
The numebr of threadss,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,Facebook
1,680270,1496288,901872,896328,736256,594305,901528,
16,7752602,11755955,6536813,9697846,7601358,7187420,1.15E+07,
32,10209397,12911404,6907886,18222193,12823356,13353083,1.86E+07,
48,10340802,14140709,8570784,19918406,17133745,19247034,2.51E+07,
64,10341325,16121905,9322970,23087801,22356990,24714094,2.79E+07,
80,10159264,15379787,9509680,22067836,21703313,20597843,2.62E+07,
96,10400108,15122312,9617145,21514462,18740812,20810482,2.71E+07,
112,10157883,14270821,9522061,22154322,18453135,20928052,2.66E+07,
128,10119727,13672075,11159347,21428578,19515676,20965225,2.63E+07,
The number of threads,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,Genome
1,678568,1898130,943106,737712,825682,595924,1.01E+06,
16,7781488,18415075,6448812,8548633,8343872,7555190,1.22E+07,
32,10458058,23281376,7209206,15275841,14656720,14305172,1.91E+07,
48,10309799,28247448,8077935,19147289,18143599,19707693,2.40E+07,
64,10192047,31403431,9399407,17198211,22937945,25022772,3.06E+07,
80,10040628,23439674,9805650,17172890,21952376,21816108,2.74E+07,
96,10251777,15060405,9637230,17767023,21070625,21573695,2.96E+07,
112,10125161,10048546,9189427,18831534,19162181,21259875,2.70E+07,
128,10374453,7324896,9817461,17166463,21204868,21031432,2.70E+07,
The number of threads,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,Gnomad
1,673811,2004105,1079494,1198803,822846,602920,1.02E+06,
16,8108423,18551718,6400800,10530667,7258588,7356793,1.16E+07,
32,10466954,23296490,8049811,18267291,13514933,14091118,1.85E+07,
48,10564554,28291172,8221660,24163448,16961457,19796197,2.46E+07,
64,10388013,31407016,9422331,24136499,21191514,25242069,3.06E+07,
80,10055818,15496161,9179183,23695156,19682027,21395157,2.73E+07,
96,10214966,11169709,10117332,22394315,21101134,21843903,2.51E+07,
112,10418747,7252632,9685884,25386123,17776897,20799655,2.70E+07,
128,8938529,6230484,9413416,25495203,19010559,20854106,2.74E+07,
The number of threads,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,OSM
1,681059,1579620,882252,1127985,743647,594952,980725,
16,8137465,13508525,6515296,9990728,7933896,7124266,1.21E+07,
32,10347351,16470766,7740533,18221310,13523109,13241669,1.93E+07,
48,10745827,18320806,8135274,19999711,16007420,18755543,2.48E+07,
64,9164833,19896868,10851624,20434903,22795897,24558978,2.67E+07,
80,10484095,18824686,9656480,14909249,22388295,21461250,2.61E+07,
96,10105155,17555532,9472769,14511926,21902607,20877925,2.69E+07,
112,10371115,15470707,9671384,12070004,22071028,20964134,2.71E+07,
128,9801968,11990156,11081614,10311489,21075774,20504982,2.82E+07,
The number of threads,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,Planet
1,717982,1802777,884157,1332146,985898,593900,1.00E+06,
16,7829658,14700238,5830690,14929634,7817721,7433968,1.17E+07,
32,10445650,18817285,6961835,23176968,12357336,14099276,1.87E+07,
48,9799068,20893891,7982858,28163809,16347342,18961451,2.59E+07,
64,10148262,22924276,10508900,33637330,22263737,24709294,3.09E+07,
80,9862697,18527264,10814438,31951574,23361817,21777846,2.84E+07,
96,10222611,16077841,10987591,33300183,22624661,21769662,2.73E+07,
112,9898623,11853913,9613131,33230865,22154801,21168273,2.74E+07,
128,9834220,8622710,11160290,30148630,20142008,20696885,2.70E+07,
The numebr of threads,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,Amazon
1,630843,2886510,957267,758754,867362,604247,1.04E+06,
16,8110838,23677941,6689568,8325504,8231652,7561515,1.19E+07,
32,10314989,32986036,7256210,16002020,13821865,13946995,1.99E+07,
48,10516923,39724477,9477841,16355945,19607128,19523842,2.53E+07,
64,10311018,41463567,9547586,21642404,19616578,25319448,2.95E+07,
80,10118777,19453417,9731383,19679783,21034063,21977679,2.84E+07,
96,10232721,9826224,9735603,25955473,19163077,22033563,2.73E+07,
112,10213878,7182901,9705779,20307472,18801084,21412830,2.53E+07,
128,9998882,6084578,9674321,18032276,17667324,21034076,2.65E+07,
Write-only workloads,,,,,,,,
The numebr of threadss,Masstree,ALEX+,LIPP+,SALI,XIndex,FINEdex,SRIndex,Facebook
1,635674,1076048,629599,586539,605132,495738,843673,
16,6775275,7602732,4696917,6437543,6123285,6186027,1.03E+07,
32,6540732,8869073,5260363,14045799,11504457,11352436,1.52E+07,
48,7514004,10254216,5369994,14794983,14915240,16502998,2.10E+07,
64,7385394,11673561,5782630,18570303,18339790,21258510,2.51E+07,
80,7287348,11297629,6100862,17960516,16773310,18323213,2.32E+07,
96,7337022,10954680,5978560,17868017,16846562,18868702,2.21E+07,
112,7072979,10345442,7157314,15704266,15806141,18290935,2.30E+07,
